Nama_Tempat,Rating_Rata,Jumlah_Review,Lokasi,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Harga_Minimum,Facilities,Facilities_List
Sinolewah Camping Ground,4.327956989247312,186,"Sleman, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1xgPoxZ824FSS_QVnxGG43AI-sLJSwlevWi_kf2A-6wOG4pX56QzGna_xS33LL2przvcJ469FMEgg7s5xb_eWtWvYaUdKOr03GO1YThKgrRQy8x4sUYpqlCico-xXfSyGYRwGfg=w426-h240-k-no,https://maps.app.goo.gl/fPM3R6vQtKzdEinZ8,Cek Gmaps,[],,,
Supercamp Sakura Hills,3.565217391304348,138,"Karanganyar, Jawa Tengah",,,,,,,
Telaga Cebong,4.461111111111111,180,"Wonosobo, Jawa Tengah",https://i1.wp.com/kemana-lagi.com/wp-content/uploads/2018/03/1520594908-picsay.jpg?w=600&ssl=1,https://maps.app.goo.gl/zjxwLACnCy5LZHgEA,Check In - Out : 12.00 - 11.13,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Telaga Dringo,4.605442176870748,294,"Banjarnegara, Jawa Tengah",https://magelangekspres.disway.id/upload/cc8cdf6f88c796625c8a045c48d9814d.jpeg,https://maps.app.goo.gl/LydXFga2U725Ken26,Check In - Out : 12.00 - 11.04,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Teras Merapi,4.666666666666667,873,"Sleman, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkkgjv3OKJX4g_a5wPJRsDcq5CNdew9-jyX9Dugs5hI_cztGPAPIRBavDIq76ctnXyy0XqLG7aG0liN2GByFnAyStGQ00QRYLMk0VjQk4sn_Cs9xFMgJ2DGJ8bQSpmEZBEadn_=w408-h306-k-no,https://maps.app.goo.gl/FRvik7kgELF3EPzGA,Cek Gmaps,[],,,
The Joglo Camp,4.953846153846154,65,"Banyumas, Jawa Tengah",https://lh3.googleusercontent.com/p/AF1QipNf_eX6oB3ipBuiTA0Hb9gRJu95JeWbV6RV4vQv=w533-h240-k-no,https://maps.app.goo.gl/s153aVBCyiquRrhs9,Cek Gmaps,[],,,
Villa & Camping Ground Pinus Kenteng,4.550898203592815,167,"Kab. Semarang, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzY548vCUbYdbAEkGcXaSzkQmojyXEFkvmNZh9YwBsg9QtbEnBbu5-dTlofflUWvxD9WxxzNpMCHKEJos-_Uwx0RSVgU7lpQjsEDm-b7wfdQmXnfUT5g-UiItTe8zoQpdVtF7ydcg=w408-h306-k-no,https://maps.app.goo.gl/3u9XuCSt3S3zkMD8A,Cek Gmaps,[],,,
Waduk Sermo,4.619433198380567,494,"Kulon Progo, DIY",https://visitingjogja.jogjaprov.go.id/wp-content/uploads/2021/04/167509417_468363341270038_9164971378936850009_n.jpg,https://maps.app.goo.gl/VY35FLEKP93CEKKe8,Check In - Out : 12.00 - 11.05,"[{""item"":""Tiket Masuk"",""harga"":6000,""kategori"":""biaya wajib""},{""item"":""Biaya Camping"",""harga"":20000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":2000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Parkir (Bus)"",""harga"":10000,""kategori"":""biaya wajib""},{""item"":""Sewa Perahu Gethek Tradisional"",""harga"":6000,""kategori"":""layanan""},{""item"":""Sewa Perahu Motor (Per Rombongan)"",""harga"":30000,""kategori"":""layanan""},{""item"":""Jasa Spot Foto Gardu Pandang"",""harga"":10000,""kategori"":""layanan""}]",43000.0,Toilet | Listrik | Air Bersih | Parkir R2 dan R4,"[""Toilet"", ""Listrik"", ""Air Bersih"", ""Parkir R2 dan R4""]"
Watu Gendong Camping Hills,4.683333333333334,60,"Gunungkidul, DIY",,,,,,,
Watu Gendong Camping Hills Outbond Center Adventure,4.683333333333334,60,"Gunungkidul, DIY",,,,,,,
Watu Kodok Beach,4.666666666666667,15,"Gunungkidul, DIY",https://pix10.agoda.net/hotelImages/35077710/0/fd9c4708905d74966d8b5126a5edc700.jpg?ce=0&s=414x232&ar=16x9,https://maps.app.goo.gl/AgdcLhxVKd1xp4sm9,Check In - Out : 12.00 - 11.01,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Watu Mabur Lemahbang Rock Cliff,4.59468438538206,301,"Bantul, DIY",https://travelspromo.com/wp-content/uploads/2023/10/Camping-Tukang-Andalan.jpg,https://maps.app.goo.gl/akxSRw5yXiBahqCQ7,Check In - Out : 12.00 - 11.07,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
