Nama_Tempat,Rating_Rata,Jumlah_Review,Lokasi,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Harga_Minimum,Facilities,Facilities_List
Camping Ground Parkiran Bukit Sikunir,4.6,10,"Wonosobo, Jawa Tengah",,,,,,,
Camping Ground Sikunir Sembungan Dieng,4.416666666666667,12,"Wonosobo, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwg_w3eqDcssL4x4SAdgU08Ihu1tl8wOdwgWtzs7s8c0yeRhLahTaw_XrACMqvE-0zC6atHSPsVUzqCjqmVqVNqYaHlzXSqkFeGeFrsouqEvHnCSyD4RkAyTOHLIdq_1Xu80jM=w408-h725-k-no,https://maps.app.goo.gl/zWtN44KtJR1mdAGZ8,Cek Gmaps,[],,,
Camping Ground Wanagama,4.833333333333333,6,"Gunungkidul, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzcncWOhfRreiZWKUNsyizPqML4bJiS8CFqFDvkWg59S87ZM83sW_-wLe2Q1eIb62NRmpPbSM9g4GEeULAd1d0Injgn6Ir5UrOTCFeRXqFe8AWY4j0PanJkZbjx7PVj_CfXI3t4=w426-h240-k-no,https://maps.app.goo.gl/XvJKYQ3imTyamXqD6,Cek Gmaps,[],,,
Camping Hill Gedang Sari,4.909090909090909,11,"Gunungkidul, DIY",,,,,,,
Camping Mawar,4.594936708860759,395,"Kab. Semarang, Jawa Tengah",https://asset.kompas.com/crops/q-JVZDgkznfnUxTZmgsQQhAY5DU=/6x9:707x476/1200x800/data/photo/2024/05/10/663e2958926ff.jpeg,https://maps.app.goo.gl/y1k1Zi7D6HCAaccu9,Check In - Out : 12.00 - 11.10,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Camping Umbul Sidomukti,4.42,50,"Kab. Semarang, Jawa Tengah",https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-mble/tix-hotel/images-web/2023/04/02/2a7fe1d1-39cc-41cf-96a4-f5930fbb0806-1680418848991-d7c9ffe1e8950433b87f9b437835c897.jpg,https://maps.app.goo.gl/iR9WGZWpJwYX6zDy5,Check In - Out : 14.00 - 12.00 hari berikutnya,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir | Tenda Kapasitas 3 Orang | Sleeping Bag / Selimut | Matras | Toilet Umum | Mushola | Dapur | Free Berenang di Kolam Renang Umbul Sidomukti,"[""Tempat Parkir"", ""Tenda Kapasitas 3 Orang"", ""Sleeping Bag / Selimut"", ""Matras"", ""Toilet Umum"", ""Mushola"", ""Dapur"", ""Free Berenang di Kolam Renang Umbul Sidomukti""]"
Caub (Camp Area Umbul Bengkok),4.5531453362255965,461,"Banyumas, Jawa Tengah",,,,,,,
Ekowisata Kali Talang,4.620274914089347,582,"Klaten, Jawa Tengah",https://blog.pigijo.com/wp-content/uploads/2023/01/Aktivitas-Wisata-di-Ekowisata-Kali-Talang.jpg,https://maps.app.goo.gl/TAG7NSrqQFBr57jH6,Check In - Out : 12.00 - 11.07,"[{""item"":""Tiket Masuk Pelajar Hari Biasa (min 5 orang)"",""harga"":12000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Pelajar Hari Libur (min 5 orang)"",""harga"":17000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Umum Hari Biasa"",""harga"":17000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Umum Hari Libur"",""harga"":22000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk WNA"",""harga"":157000,""kategori"":""biaya wajib""}]",225000.0,Gazebo | Toilet | Pendopo | Gardu Pandang,"[""Gazebo"", ""Toilet"", ""Pendopo"", ""Gardu Pandang""]"
Gerbang Merapi Mountain View,4.715116279069767,172,"Sleman, DIY",,,,,,,
Glamping Menoreh,4.193333333333333,150,"Kulon Progo, DIY",,,,,,,
Gunung Cilik Kaliurip Wonosobo,4.603053435114504,393,"Wonosobo, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbwld3kbmiypl8hcZR4cyylXga6wSxQ7OrVJSv_DjO-f38HIyY7BqQM6FT_bflCnOkBBsDU731eYsYEK3iz7XigpJGCgS2e0rcNaxE28Vw4aMzNi2TletO6ldKfGweB-rxu83kGg=w408-h306-k-no,https://maps.app.goo.gl/6FfWL6brMK8NMYBVA,Cek Gmaps,[],,,
Jogja Camp,4.985074626865671,67,"Gunungkidul, DIY",https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2023/02/03/be60dfdf-8591-4595-8740-a64dd97c9520-1675419067496-5ce697296d27b1a2ce853515bdc2e4f9.jpg,https://maps.app.goo.gl/bg6D8DpVBopxywyS8,Check In - Out : 12.00 - 11.02,"[{""item"":""Paket per Tenda"",""harga"":150000,""kategori"":""sewa pokok""},{""item"":""Ground Only"",""harga"":25000,""kategori"":""biaya wajib""}]",175000.0,Tenda dan Peralatan Tidur (Gratis) | Lampu Tenda | Parkir (Gratis) | 15 Toilet | Mushola | Limasan | Listrik Bebas | No Pungli,"[""Tenda dan Peralatan Tidur (Gratis)"", ""Lampu Tenda"", ""Parkir (Gratis)"", ""15 Toilet"", ""Mushola"", ""Limasan"", ""Listrik Bebas"", ""No Pungli""]"
Kaliurang Forest Camp,4.5,4,"Sleman, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMq35Q1IX778tLa7vrBxfHP6rdqWOHnTuUISr9anSPbWrjZ6BAHgO_vaGp1sDwpN6PAdiyNmQJv4X7XlGf7HRs6p_XBB_zk6lOLaZiFw2ZGkDBc4Ay7UDwM_B3mMV9VG2uMT8ggA=w533-h240-k-no,https://maps.app.goo.gl/b75xYPk7Nyb5PWbW8,Cek Gmaps,[],,,
